"design","series","subsample","event_month","mean_car","boot_se","lo","hi","n"
"Monthly SC","Runup placebo","Stock merger",19,-0.181319078693504,0.0544787251048977,-0.286998545480877,-0.0792873075972562,3661
"Monthly SC","Runup placebo","Stock merger",20,-0.190090312441782,0.0550157359171434,-0.294407335807267,-0.0858368974697083,3661
"Monthly SC","Runup placebo","Stock merger",21,-0.197085401045478,0.0564127973314589,-0.304201109296771,-0.0909503931417304,3661
"Monthly SC","Runup placebo","Stock merger",22,-0.202351723791781,0.0573305384610112,-0.31108185124324,-0.0922866759146397,3661
"Monthly SC","Runup placebo","Stock merger",23,-0.212821222268958,0.055861558085581,-0.317103423749776,-0.102603164471151,3661
"Monthly SC","Runup placebo","Stock merger",24,-0.209180662273265,0.0567772117811816,-0.313965545252098,-0.0985956013368729,3661
"Monthly SC","Runup placebo","Stock merger",25,-0.210931816713207,0.0575962352306845,-0.318073024072801,-0.0999865012661412,3661
"Monthly SC","Runup placebo","Stock merger",26,-0.219507681227917,0.0571552626375845,-0.325281212479536,-0.1089907367859,3661
"Monthly SC","Runup placebo","Stock merger",27,-0.223369472196446,0.0575745945860294,-0.329111296317809,-0.109846889329119,3661
"Monthly SC","Runup placebo","Stock merger",28,-0.225872512575568,0.0573287306254986,-0.331383236694735,-0.11401815649348,3661
"Monthly SC","Runup placebo","Stock merger",29,-0.229811260543638,0.055267315135733,-0.33060010519715,-0.120579693649744,3661
"Monthly SC","Runup placebo","Stock merger",30,-0.2364170239776,0.0541476261247203,-0.335563493309857,-0.126032484173935,3661
"Monthly SC","Runup placebo","Stock merger",31,-0.239955403110059,0.0513898710629614,-0.33472413694722,-0.135917537904636,3661
"Monthly SC","Runup placebo","Stock merger",32,-0.24177399241299,0.0497547917976143,-0.332586440712802,-0.140253895433167,3661
"Monthly SC","Runup placebo","Stock merger",33,-0.244605945836371,0.0483849179756924,-0.33426724395635,-0.144554018227901,3661
"Monthly SC","Runup placebo","Stock merger",34,-0.244575696257721,0.0458641702694606,-0.329332997623224,-0.149240237320308,3661
"Monthly SC","Runup placebo","Stock merger",35,-0.245290765074307,0.0474419880468081,-0.33240090623865,-0.145825658644298,3661
"Monthly SC","Runup placebo","Stock merger",36,-0.242420101959791,0.0459002456722556,-0.325263492874482,-0.14329985714673,3661
"Gsynth","Treated","Stock merger",0,0.00531467655039538,0.00373999774261303,-0.00184083514348023,0.0127396262109802,3661
"Gsynth","Treated","Stock merger",1,-0.0083936011446149,0.00589740239267732,-0.0200076713130115,0.00304744057585293,3661
"Gsynth","Treated","Stock merger",2,-0.0218471988123479,0.00985812167658468,-0.0396480124040114,-0.00232878240579432,3661
"Gsynth","Treated","Stock merger",3,-0.0362646647710573,0.0120293703181383,-0.058087712461653,-0.0110006175805384,3661
"Gsynth","Treated","Stock merger",4,-0.0550084181817496,0.0149445957852983,-0.0827167862098022,-0.0252599687288601,3661
"Gsynth","Treated","Stock merger",5,-0.0739659692073514,0.0186353759300252,-0.107410051367614,-0.0357788683236027,3661
"Gsynth","Treated","Stock merger",6,-0.0896503002437364,0.0191275881372115,-0.123700751310977,-0.0492647834832064,3661
"Gsynth","Treated","Stock merger",7,-0.0983930636773827,0.0226900187290889,-0.138592323466354,-0.0492024791351017,3661
"Gsynth","Treated","Stock merger",8,-0.116109620437686,0.0266536316451531,-0.160897322287495,-0.0589839549637259,3661
"Gsynth","Treated","Stock merger",9,-0.128904219247982,0.0279056048720573,-0.17699275081725,-0.0698361401619392,3661
"Gsynth","Treated","Stock merger",10,-0.141253943266842,0.0280754989391954,-0.189319049448237,-0.0801392466074559,3661
"Gsynth","Treated","Stock merger",11,-0.157539143706711,0.0314792188420555,-0.21274762626212,-0.0928574344549399,3661
"Gsynth","Treated","Stock merger",12,-0.169032372259023,0.0346245897674899,-0.229573909176894,-0.0980621311555279,3661
"Gsynth","Treated","Stock merger",13,-0.18491004688531,0.0363106589535146,-0.247056420823199,-0.107635467764865,3661
"Gsynth","Treated","Stock merger",14,-0.19904738235143,0.0393653752016946,-0.267042867415699,-0.119138920505483,3661
"Gsynth","Treated","Stock merger",15,-0.208029502497114,0.0426315229301523,-0.282596442747135,-0.122523582508332,3661
"Gsynth","Treated","Stock merger",16,-0.222331239321585,0.0444615363870326,-0.301139637011033,-0.132242958769294,3661
"Gsynth","Treated","Stock merger",17,-0.238324245795673,0.0468289287630012,-0.322453011775085,-0.144429383500549,3661
"Gsynth","Treated","Stock merger",18,-0.24824149879995,0.0488641494489743,-0.337129810932977,-0.148148690582302,3661
"Gsynth","Treated","Stock merger",19,-0.265909975411507,0.0509415881864136,-0.355281320939517,-0.158064434395844,3661
"Gsynth","Treated","Stock merger",20,-0.275876174750729,0.0539305407926194,-0.369696650467485,-0.165441747438352,3661
"Gsynth","Treated","Stock merger",21,-0.293871369349275,0.0555128916390876,-0.394672448650777,-0.180378448911527,3661
"Gsynth","Treated","Stock merger",22,-0.30301738578921,0.0575164765852281,-0.405859601783288,-0.185890477913315,3661
"Gsynth","Treated","Stock merger",23,-0.31449987321372,0.060684855789334,-0.420377641684711,-0.189175136140727,3661
"Gsynth","Treated","Stock merger",24,-0.326442321370657,0.0641789006892289,-0.43687954463962,-0.197109460084028,3661
"Gsynth","Treated","Stock merger",25,-0.339876526042125,0.0659167731124378,-0.452439470477045,-0.204010024516937,3661
"Gsynth","Treated","Stock merger",26,-0.353516617236317,0.0682763386962452,-0.469580937887665,-0.21259918780778,3661
"Gsynth","Treated","Stock merger",27,-0.367991718580569,0.0719253531652456,-0.492235130070717,-0.217236519367044,3661
"Gsynth","Treated","Stock merger",28,-0.376896837558587,0.0769847257190708,-0.512203991703782,-0.215079920606166,3661
"Gsynth","Treated","Stock merger",29,-0.391361610661686,0.0807285807274327,-0.533478434388676,-0.224002662217122,3661
"Gsynth","Treated","Stock merger",30,-0.406935874911475,0.0835047160384613,-0.552229334603228,-0.228718440672691,3661
"Gsynth","Treated","Stock merger",31,-0.419387449124842,0.0864735462651169,-0.571060293662782,-0.23793672622667,3661
"Gsynth","Treated","Stock merger",32,-0.433052367435384,0.0911473060556868,-0.598612287110489,-0.239575181320272,3661
"Gsynth","Treated","Stock merger",33,-0.448470213432441,0.0948468779450672,-0.619868301421014,-0.248782578817136,3661
"Gsynth","Treated","Stock merger",34,-0.460735329647134,0.0977019497474718,-0.639290515070401,-0.251319528266941,3661
"Gsynth","Treated","Stock merger",35,-0.472582644567519,0.102491615620463,-0.658807608854236,-0.25397973569282,3661
"Gsynth","Treated","Stock merger",36,-0.470373736863721,0.10738117625663,-0.670104037638665,-0.24259775665221,3661
"Gsynth","Random placebo","Stock merger",0,-0.000315365563685274,0.00226403463799741,-0.0040106764115405,0.00467716315970579,5545
"Gsynth","Random placebo","Stock merger",1,-0.00309286803668964,0.0042741709518103,-0.0109337188133935,0.00565450833860264,5545
"Gsynth","Random placebo","Stock merger",2,-0.00429182910214675,0.00509359916581272,-0.0137164549313179,0.00626159250730618,5545
"Gsynth","Random placebo","Stock merger",3,-0.00379385677496774,0.00664108819405406,-0.0161072908269368,0.00902712298313093,5545
"Gsynth","Random placebo","Stock merger",4,-0.0051011161085867,0.00862595680220869,-0.021836057660271,0.0120402283176371,5545
"Gsynth","Random placebo","Stock merger",5,-0.0129240702941814,0.0105483576051084,-0.0336674938783959,0.00777049304961316,5545
"Gsynth","Random placebo","Stock merger",6,-0.0167909029634618,0.0127706700937723,-0.0417510213548751,0.007800492547765,5545
"Gsynth","Random placebo","Stock merger",7,-0.0193483678349519,0.0143749289386353,-0.0472253714814509,0.00905191535839509,5545
"Gsynth","Random placebo","Stock merger",8,-0.0214007285971349,0.015489771042743,-0.0509434198333281,0.00909930579955505,5545
"Gsynth","Random placebo","Stock merger",9,-0.0168096272888924,0.0168880886652793,-0.0494162233010434,0.0166887592484843,5545
"Gsynth","Random placebo","Stock merger",10,-0.0211645578426585,0.0175595578246043,-0.0544124203450402,0.0127490041152215,5545
"Gsynth","Random placebo","Stock merger",11,-0.0277454662231257,0.0208832856161698,-0.0676270924343439,0.0124108207424026,5545
"Gsynth","Random placebo","Stock merger",12,-0.0260515367647637,0.0207810573394662,-0.064547262664299,0.0148586189541968,5545
"Gsynth","Random placebo","Stock merger",13,-0.0290437998962028,0.0222243698153643,-0.0722998949929158,0.0136920173682126,5545
"Gsynth","Random placebo","Stock merger",14,-0.0316081513990477,0.0231059996726726,-0.0755240303221317,0.0129380544780813,5545
"Gsynth","Random placebo","Stock merger",15,-0.0341524999141536,0.0234759571225233,-0.0802210073559807,0.0117324220270529,5545
"Gsynth","Random placebo","Stock merger",16,-0.0283285123046958,0.022946679963116,-0.0734859550673211,0.0153886530484614,5545
"Gsynth","Random placebo","Stock merger",17,-0.0278210842178751,0.0204320042070569,-0.0673298749217714,0.0108086840421615,5545
"Gsynth","Random placebo","Stock merger",18,-0.0279385197065774,0.0225965047088758,-0.0709670777939806,0.0162027844005725,5545
"Gsynth","Random placebo","Stock merger",19,-0.0308087706706236,0.0221683153595514,-0.073280179536411,0.0122883481949688,5545
"Gsynth","Random placebo","Stock merger",20,-0.0323692962994322,0.0242273413260487,-0.0787830618602191,0.0157842501109736,5545
"Gsynth","Random placebo","Stock merger",21,-0.0319991125902473,0.0255941720510397,-0.0805124263531177,0.0184958442502856,5545
"Gsynth","Random placebo","Stock merger",22,-0.0363164404180197,0.0246123450121892,-0.0825506785609709,0.0138175177543995,5545
"Gsynth","Random placebo","Stock merger",23,-0.0319622405524477,0.0239815839394811,-0.0761006182906078,0.016686438844507,5545
"Gsynth","Random placebo","Stock merger",24,-0.035918576993936,0.0253354166947915,-0.0836633391604282,0.0167878285101605,5545
"Gsynth","Random placebo","Stock merger",25,-0.0338310106958307,0.0258217830429507,-0.0836639055146664,0.0174092892772202,5545
"Gsynth","Random placebo","Stock merger",26,-0.029706053215391,0.0265681650190185,-0.0817993576216322,0.0217702693459765,5545
"Gsynth","Random placebo","Stock merger",27,-0.0312981437901642,0.0282283452603892,-0.0853395191448277,0.0242391855336477,5545
"Gsynth","Random placebo","Stock merger",28,-0.0315535440936953,0.0297311595805688,-0.0880896151990393,0.0261475188716544,5545
"Gsynth","Random placebo","Stock merger",29,-0.0323507719496766,0.0302771168570254,-0.089269994729087,0.0283955790571072,5545
"Gsynth","Random placebo","Stock merger",30,-0.0368864689157332,0.0321136503609709,-0.0986818235644923,0.0260935308935305,5545
"Gsynth","Random placebo","Stock merger",31,-0.0373264211519182,0.0330600178117686,-0.100074634346519,0.0284286609131578,5545
"Gsynth","Random placebo","Stock merger",32,-0.0350593102423357,0.0326688308796526,-0.0968515149648813,0.0321992740783298,5545
"Gsynth","Random placebo","Stock merger",33,-0.0260771077381449,0.031828696783871,-0.086888993001076,0.0375461387239668,5545
"Gsynth","Random placebo","Stock merger",34,-0.0218839897467379,0.0329882270187851,-0.0864862290374477,0.0424069873631918,5545
"Gsynth","Random placebo","Stock merger",35,-0.0112734462231222,0.0345764081858776,-0.0754412458928834,0.0554065860842145,5545
