"method","subsample","event_date","mean_car","se","boot_se","lo","hi","n","metric"
"SC","Cash merger",59,-0.070472733805182,0.00230062680439588,0.0149420285308323,-0.103210727892675,-0.0413279780906488,9261,"log"
"SC","Cash merger",60,-0.0717761085240813,0.00231553802508733,0.0152104663869422,-0.105178846438974,-0.0419504426586023,9261,"log"
"SC","Cash merger",61,-0.0734344623048393,0.00233740229241179,0.0155384213207917,-0.107492960416533,-0.0430930107171409,9261,"log"
"SC","Cash merger",62,-0.0748439375527899,0.00235389937807635,0.0157473631460994,-0.109683498506297,-0.043885228328407,9261,"log"
"SC","Cash merger",63,-0.0765320738361361,0.002384185207288,0.016036289593034,-0.111887104012493,-0.0447343803398924,9261,"log"
"SC","Cash merger",64,-0.0780822750520516,0.00239779403482755,0.0160773640145208,-0.113261518447345,-0.0462604775105832,9261,"log"
"SC","Cash merger",65,-0.0795515871183743,0.0024237665819566,0.0163797407735751,-0.115491075213981,-0.0472330136594719,9261,"log"
"SC","Cash merger",66,-0.0810690229445378,0.00243816065643735,0.0166365061339535,-0.117429825826939,-0.0483002880434718,9261,"log"
"SC","Cash merger",67,-0.0825606714563061,0.0024537797488961,0.016804531407848,-0.119002521257072,-0.0495312744374771,9261,"log"
"SC","Cash merger",68,-0.0840798256334704,0.00247739170478686,0.0170293374264935,-0.121315663783666,-0.0507468624654441,9261,"log"
"SC","Cash merger",69,-0.0855961626092648,0.00250640757711235,0.0172150190278201,-0.123397967186138,-0.0521045033295815,9261,"log"
"SC","Cash merger",70,-0.0877075975631107,0.00252459231431338,0.0174792027251161,-0.126360708610959,-0.0533164708149433,9261,"log"
"SC","Cash merger",71,-0.0894827852314447,0.00254635354085351,0.0177658125915215,-0.128995058863995,-0.0548832081279182,9261,"log"
"SC","Cash merger",72,-0.0913725759577726,0.00256556755991079,0.0180270548372149,-0.131462567549329,-0.0559899218035175,9261,"log"
"SC","Cash merger",73,-0.0929735558395283,0.00258583052965815,0.018202219650291,-0.133672653307135,-0.057086312995632,9261,"log"
"SC","Cash merger",74,-0.0942759202579256,0.00260626358741502,0.0183274695181956,-0.134943787597794,-0.0581112279078694,9261,"log"
"SC","Cash merger",75,-0.0957741597058627,0.00262468020143227,0.0185595886088574,-0.136847122008886,-0.0591692428407375,9261,"log"
"SC","Cash merger",76,-0.0969567821664994,0.00263799284430448,0.0187055153334076,-0.138273735736896,-0.0600331430952399,9261,"log"
"SC","Cash merger",77,-0.0988924763580205,0.00266333600506464,0.0191015497227272,-0.140348059140083,-0.0614174321443754,9261,"log"
"SC","Cash merger",78,-0.0999940406977392,0.00268845484952096,0.0191581870172995,-0.141888362262546,-0.0622841644463847,9261,"log"
"SC","Cash merger",79,-0.101456678526347,0.00270013787710383,0.0193420991978289,-0.143745643532648,-0.0634797625034856,9261,"log"
"SC","Cash merger",80,-0.102480016033078,0.00272970544210514,0.0195155633367088,-0.145391408654846,-0.0638656646601086,9261,"log"
"SC","Cash merger",81,-0.103836192214481,0.00274862777177417,0.0195718662703859,-0.146901791243125,-0.0653813401029875,9261,"log"
"SC","Cash merger",82,-0.10411808787038,0.00275579097684028,0.0197298272446978,-0.147563785696474,-0.0655858845733777,9261,"log"
"SC","Cash merger",83,-0.105363188407798,0.00277162978475872,0.0199880044713708,-0.14972400623611,-0.0663248936041024,9261,"log"
"SC","Cash merger",84,-0.107118161419603,0.0027924002772676,0.0202725300183507,-0.152046078025912,-0.06749542970553,9261,"log"
"SC","Cash merger",85,-0.108526257762182,0.00280681047688534,0.0204311457752807,-0.153778808679769,-0.0683559694070552,9261,"log"
"SC","Cash merger",86,-0.110250029187716,0.00282676414666685,0.0207120323690387,-0.155797877283821,-0.069588204489296,9261,"log"
