"table","panel","row","col","units","estimate_published","estimate_reproduced","diff","tol","ok"
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Treated Periods: E(Bias)","pp",-0.52,-0.515353390007699,0.00464660999230093,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Treated Periods: MAD","pp",0.52,0.517147726735602,-0.00285227326439785,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Untreated Periods: Coverage","decimal",0.08,0.076,-0.004,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Untreated Periods: E(Bias)","pp",-0.01,-0.00532899142949163,0.00467100857050837,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Untreated Periods: MAD","pp",0.05,0.0538527421398729,0.00385274213987286,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","All Periods: E(Bias)","pp",0.21,0.210156434817973,0.000156434817972784,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","All Periods: MAD","pp",0.23,0.230294542196957,0.000294542196956543,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","All Periods: RMSE","pp",2.92,2.92316756162778,0.00316756162777754,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Treated Periods: Coverage","decimal",1,1,0,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Treated Periods: E(Bias)","pp",2.26,2.26302536829944,0.00302536829943945,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Treated Periods: MAD","pp",2.26,2.26302536829944,0.00302536829943945,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Untreated Periods: Coverage","decimal",0.4,0.402,0.00199999999999995,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Untreated Periods: E(Bias)","pp",0,0.00486954146982612,0.00486954146982612,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Untreated Periods: MAD","pp",0.13,0.130542388574208,0.000542388574207547,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","All Periods: E(Bias)","pp",-0.02,-0.0152898863212204,0.00471011367877965,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","All Periods: MAD","pp",0.04,0.0370439418845174,-0.00295605811548262,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","All Periods: RMSE","pp",0.52,0.523025527240967,0.00302552724096739,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Treated Periods: Coverage","decimal",1,1,0,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Treated Periods: E(Bias)","pp",0.01,0.00967268482488421,-0.000327315175115792,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Treated Periods: MAD","pp",0.12,0.124167556052533,0.00416755605253299,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Untreated Periods: Coverage","decimal",0.05,0.05,0,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Untreated Periods: E(Bias)","pp",-0.02,-0.0177861434358308,0.00221385656416919,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Untreated Periods: MAD","pp",0.04,0.0385666131421094,-0.00143338685789063,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","All Periods: E(Bias)","pp",-0.01,-0.00645434952102748,0.00354565047897252,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","All Periods: MAD","pp",0.04,0.0373429761551157,-0.00265702384488429,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","All Periods: RMSE","pp",0.56,0.556375911062891,-0.00362408893710942,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Treated Periods: Coverage","decimal",1,1,0,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Treated Periods: E(Bias)","pp",-0.01,-0.0110427891650251,-0.00104278916502507,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Treated Periods: MAD","pp",0.14,0.138113646030256,-0.00188635396974385,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Untreated Periods: Coverage","decimal",0.04,0.052,0.012,0.03,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Untreated Periods: E(Bias)","pp",-0.01,-0.00599550555662772,0.00400449444337228,0.105,TRUE
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Untreated Periods: MAD","pp",0.04,0.0381879036167126,-0.00181209638328737,0.105,TRUE
