"design","subsample","event_date","mean_car","boot_se","lo","hi","n"
"Gsynth","Cash merger",50,-0.00414772100204876,0.00370933142342982,-0.0114745965696132,0.00292711658319025,9261
"Gsynth","Cash merger",51,-0.00463923592559363,0.00369917000080009,-0.0119570133372344,0.00245865216358553,9261
"Gsynth","Cash merger",52,-0.00484236954878341,0.00368281458192144,-0.0119502998930628,0.00213649671164795,9261
"Gsynth","Cash merger",53,-0.00528624894084035,0.00386417204405118,-0.0127307759827199,0.0020909424331148,9261
"Gsynth","Cash merger",54,-0.00547742260149407,0.0036257800136148,-0.0126329352662862,0.00160724815635173,9261
"Gsynth","Cash merger",55,-0.00521339294435264,0.00388413505600185,-0.0128739809800236,0.00212915235800007,9261
"Gsynth","Cash merger",56,-0.00518805473010249,0.00400797772057114,-0.0131324994750757,0.00249508004570008,9261
"Gsynth","Cash merger",57,-0.004754396697145,0.0039155592191627,-0.0124336441170107,0.0025327945462406,9261
"Gsynth","Cash merger",58,-0.00463955950874837,0.00413114546452631,-0.0124902523873477,0.00339127816502936,9261
"Gsynth","Cash merger",59,-0.00493339741784307,0.00414751211357472,-0.0127810815978214,0.00318245716281654,9261
"Gsynth","Cash merger",60,-0.00461087771961086,0.00423061256386325,-0.0126984209826778,0.00399239713602725,9261
"Gsynth","Cash merger",61,-0.00478849805539941,0.00419665003508006,-0.0128643312991787,0.00371089126644677,9261
"Gsynth","Cash merger",62,-0.00460709775129336,0.00410271309410654,-0.0127963180885831,0.00349944810356303,9261
"Gsynth","Cash merger",63,-0.00429147155252756,0.00428674763081161,-0.0129244054842232,0.00408475095701514,9261
"Gsynth","Cash merger",64,-0.00443885900288963,0.0045138503601375,-0.0132359445533274,0.00447693789027725,9261
"Gsynth","Cash merger",65,-0.00447099586865051,0.00443834481121288,-0.0130418509074924,0.00458956659491639,9261
"Gsynth","Cash merger",66,-0.00503343979271473,0.00462783464913444,-0.0138983205471941,0.00446452004019393,9261
"Gsynth","Cash merger",67,-0.00429617436213073,0.00463201497892095,-0.0132497857092215,0.00517144948622756,9261
"Gsynth","Cash merger",68,-0.00405556456758873,0.00490954798521557,-0.0132639432759231,0.00622042926423488,9261
"Gsynth","Cash merger",69,-0.00430522648793887,0.00484742789009226,-0.0134315236564254,0.00572901157666634,9261
"Gsynth","Cash merger",70,-0.00406779477533778,0.00495412517991359,-0.0134074011343611,0.0060621755405716,9261
"Gsynth","Cash merger",71,-0.00361822483667284,0.00496720497607471,-0.0130504167672688,0.00668549373094623,9261
"Gsynth","Cash merger",72,-0.00349134364696742,0.00482842279107373,-0.0125873627135285,0.00651414169616687,9261
"Gsynth","Cash merger",73,-0.00224205591563181,0.00507356100117818,-0.0119250378719637,0.00810190493129991,9261
"Gsynth","Cash merger",74,-0.00205605044135684,0.00508608267118102,-0.0116464774562889,0.00834710948134465,9261
"Gsynth","Cash merger",75,-0.00264213660901732,0.00512875407110377,-0.0124500677903718,0.00777630580859951,9261
"Gsynth","Cash merger",76,-0.00257277328922264,0.00531566823637615,-0.0125371878793784,0.00809215866280956,9261
"Gsynth","Cash merger",77,-0.00267084657527644,0.00537719237908434,-0.0127392354841071,0.00811871901800666,9261
"Gsynth","Cash merger",78,-0.00306418523522272,0.00540855064197135,-0.0131319593065105,0.00801378258218028,9261
"Gsynth","Cash merger",79,-0.00326313187530395,0.00548558422356588,-0.0134656582329546,0.00781161010568241,9261
"Gsynth","Cash merger",80,-0.00323798558800677,0.00537376313775181,-0.0134225171772664,0.00747444972363349,9261
"Gsynth","Cash merger",81,-0.00304917104439108,0.00551171104226337,-0.0135732843197474,0.00776060315179628,9261
"Gsynth","Cash merger",82,-0.0036702418878378,0.00543668458954556,-0.0141157762136484,0.0069937661576858,9261
"Gsynth","Cash merger",83,-0.00316702478700767,0.00546167921553851,-0.0136254903443983,0.00759444730083158,9261
"Gsynth","Cash merger",84,-0.00299205915898436,0.00562394471348689,-0.0134237010633374,0.00812017923468973,9261
"Gsynth","Cash merger",85,-0.00282174593985851,0.00580959969211757,-0.0136211845705324,0.00862464484654882,9261
"Gsynth","Cash merger",86,-0.00335568447798244,0.00584108713928595,-0.0143845864293481,0.00787771376320218,9261
"Gsynth","Cash merger",87,-0.0030679189210973,0.00598500477415928,-0.014243736511144,0.00841945753521841,9261
"Gsynth","Cash merger",88,-0.00301279867130027,0.00596944444284067,-0.0144478657467512,0.00825531163188505,9261
"Gsynth","Cash merger",89,-0.0027365549935186,0.0059140645716628,-0.0140219871982895,0.0086505812131302,9261
"Gsynth","Cash merger",90,-0.00296031507066852,0.00601867922414752,-0.0143768951221323,0.00894460370569693,9261
"Gsynth","Cash merger",91,-0.0030539141234141,0.00611915028424489,-0.0148553158935024,0.00872172964018535,9261
"Gsynth","Cash merger",92,-0.00320420142470036,0.00628907645240492,-0.015163430134151,0.00910885806562528,9261
"Gsynth","Cash merger",93,-0.0027613349848525,0.00624615065447237,-0.0144498689402149,0.00932239385419361,9261
"Gsynth","Cash merger",94,-0.0024686661603507,0.00633085847718932,-0.0142865128542074,0.0103408150263001,9261
"Gsynth","Cash merger",95,-0.00256542618078402,0.00633782321062787,-0.0144224416959357,0.00974826549492527,9261
"Gsynth","Cash merger",96,-0.00290685527672595,0.00629169049704437,-0.0145108862010411,0.00943365799319464,9261
"Gsynth","Cash merger",97,-0.00319292251729361,0.00638306221629687,-0.0152254674311288,0.00907059384438148,9261
"Gsynth","Cash merger",98,-0.00388583746229947,0.0064665834745024,-0.0164901373641344,0.00858797233075391,9261
"Gsynth","Cash merger",99,-0.00421644456904579,0.00642901023044911,-0.0167706936130442,0.00820040316020654,9261
"Gsynth","Cash merger",100,-0.00409550400350073,0.00633780496242583,-0.0165748632868983,0.00800637433494956,9261
"Gsynth","Cash merger",101,-0.00365831004208167,0.00631420367821148,-0.0157532628795834,0.00887057133581392,9261
"Gsynth","Cash merger",102,-0.00426725434706587,0.00640854171114682,-0.0165970891935327,0.00851475738302886,9261
"Gsynth","Cash merger",103,-0.00385177566300431,0.00623436077595122,-0.015937334984479,0.0082514166878025,9261
"Gsynth","Cash merger",104,-0.00355197925439322,0.00633705547310406,-0.0157757377910592,0.00879197469446665,9261
"Gsynth","Cash merger",105,-0.00328969626902058,0.00642573058715821,-0.0156009028264199,0.00922821931695219,9261
"Gsynth","Cash merger",106,-0.00320474875986749,0.00660880802883557,-0.0159521486500641,0.00984227235814557,9261
"Gsynth","Cash merger",107,-0.00140172371867207,0.00636953135958403,-0.0137693395054645,0.0112245653322138,9261
"Gsynth","Cash merger",108,-0.00105207578410254,0.00654454352607615,-0.0137647179529957,0.0121051639708526,9261
"Gsynth","Cash merger",109,-0.00177277993711834,0.00657402977293993,-0.0145702922624336,0.011409993460859,9261
"Gsynth","Cash merger",110,-0.00248805701346608,0.00651404500454106,-0.0150665280779951,0.0108512734296669,9261
"Gsynth","Cash merger",111,-0.00232630739635189,0.00657723292552656,-0.0150101954533352,0.0107371276778601,9261
"Gsynth","Cash merger",112,-0.00190302536658415,0.00653195382950593,-0.0145459028025945,0.0113156016287758,9261
"Gsynth","Cash merger",113,-0.00247947149096846,0.00668454274446554,-0.0154479097795135,0.0111192308245104,9261
"Gsynth","Cash merger",114,-0.00207922464571578,0.00690945726470927,-0.0151685780722411,0.0119056939588711,9261
"Gsynth","Cash merger",115,-0.00233548588438311,0.00689613833003171,-0.015954647861989,0.0118022245217967,9261
"Gsynth","Cash merger",116,-0.00191709698955202,0.00704630287280958,-0.0157213606268888,0.0123250093015433,9261
"Gsynth","Cash merger",117,-0.0020166532792967,0.00692478334419525,-0.0157164478105445,0.01186521415878,9261
"Gsynth","Cash merger",118,-0.00181377860191431,0.00703315681706849,-0.0155488300839457,0.0125581047479605,9261
"Gsynth","Cash merger",119,-0.00250236355415978,0.00690975127634249,-0.0162303287506561,0.0115999782717527,9261
"Gsynth","Cash merger",120,-0.00232835283664991,0.00706356112205688,-0.0163051585048872,0.0116512871230179,9261
"Gsynth","Cash merger",121,-0.00165688081093158,0.00711317411966628,-0.0156238730653557,0.0126175737365585,9261
"Gsynth","Cash merger",122,-0.00241957806551753,0.0071150728555911,-0.0162770593353497,0.0116297917931227,9261
"Gsynth","Cash merger",123,-0.00228023324412536,0.00709186609911823,-0.016001024214924,0.0114745094699585,9261
"Gsynth","Cash merger",124,-0.00207270347552975,0.0071378935582345,-0.0159142818123484,0.0118079983481352,9261
"Gsynth","Cash merger",125,-0.00149287165216685,0.0072687882551131,-0.015530211347441,0.0128530901657879,9261
"Gsynth","Cash merger",126,-0.00174764943950274,0.00740053436974571,-0.0159048721695685,0.0129136971147655,9261
"Gsynth","Cash merger",127,-0.00222665451677196,0.00735476507576569,-0.0163970425139184,0.0122255044890945,9261
"Gsynth","Cash merger",128,-0.0015719084026266,0.00743630559229381,-0.015876080066395,0.013208356381535,9261
"Gsynth","Cash merger",129,-0.000339616864539918,0.00761208167915052,-0.0148176399726237,0.0146298024207396,9261
"Gsynth","Cash merger",130,-0.000628666948490592,0.00767342524244045,-0.0154958583772516,0.0146051122302451,9261
"Gsynth","Cash merger",131,-0.000821402591903117,0.00759481297554624,-0.0152682614485698,0.0141840386582851,9261
"Gsynth","Cash merger",132,-0.000899545878240202,0.0076444231659797,-0.0156626661364772,0.0144032380732822,9261
