"table","panel","row","col","estimate"
1,"Panel C: Random Assignment + Timing Selection","CAPM","Untreated Periods: E(Bias)",0.00127309002206396
1,"Panel C: Random Assignment + Timing Selection","CAPM","Untreated Periods: MAD",0.161069867910734
1,"Panel C: Random Assignment + Timing Selection","CAPM","Untreated Periods: Coverage",0.456
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","All Periods: E(Bias)",-0.0222673961762307
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","All Periods: MAD",0.0435692387185308
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","All Periods: RMSE",0.53846798108147
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","Treated Periods: E(Bias)",0.00267114595741841
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","Treated Periods: MAD",0.118941908382202
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","Treated Periods: Coverage",1
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","Untreated Periods: E(Bias)",-0.0247612503895957
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","Untreated Periods: MAD",0.0446565568140499
1,"Panel C: Random Assignment + Timing Selection","Correct Factor Structure","Untreated Periods: Coverage",0.042
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","All Periods: E(Bias)",-0.0104661333751148
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","All Periods: MAD",0.0426036985155713
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","All Periods: RMSE",0.569193390841137
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","Treated Periods: E(Bias)",0.0136834577246132
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","Treated Periods: MAD",0.131538473128011
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","Treated Periods: Coverage",1
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","Untreated Periods: E(Bias)",-0.0128810924850877
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","Untreated Periods: MAD",0.0433016874113698
1,"Panel C: Random Assignment + Timing Selection","Gsynth (PCA)","Untreated Periods: Coverage",0.046
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","All Periods: E(Bias)",-0.0516948458456923
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","All Periods: MAD",0.069502744722948
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","All Periods: RMSE",0.883358667019211
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Treated Periods: E(Bias)",-0.515353390007699
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Treated Periods: MAD",0.517147726735602
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Treated Periods: Coverage",1
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Untreated Periods: E(Bias)",-0.00532899142949163
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Untreated Periods: MAD",0.0538527421398729
1,"Panel D: Assignment Selection + Timing Selection","Simple Means","Untreated Periods: Coverage",0.076
1,"Panel D: Assignment Selection + Timing Selection","CAPM","All Periods: E(Bias)",0.210156434817973
1,"Panel D: Assignment Selection + Timing Selection","CAPM","All Periods: MAD",0.230294542196957
1,"Panel D: Assignment Selection + Timing Selection","CAPM","All Periods: RMSE",2.92316756162778
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Treated Periods: E(Bias)",2.26302536829944
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Treated Periods: MAD",2.26302536829944
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Treated Periods: Coverage",1
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Untreated Periods: E(Bias)",0.00486954146982612
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Untreated Periods: MAD",0.130542388574208
1,"Panel D: Assignment Selection + Timing Selection","CAPM","Untreated Periods: Coverage",0.402
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","All Periods: E(Bias)",-0.0152898863212204
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","All Periods: MAD",0.0370439418845174
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","All Periods: RMSE",0.523025527240967
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Treated Periods: E(Bias)",0.00967268482488421
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Treated Periods: MAD",0.124167556052533
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Treated Periods: Coverage",1
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Untreated Periods: E(Bias)",-0.0177861434358308
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Untreated Periods: MAD",0.0385666131421094
1,"Panel D: Assignment Selection + Timing Selection","Correct Factor Structure","Untreated Periods: Coverage",0.05
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","All Periods: E(Bias)",-0.00645434952102748
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","All Periods: MAD",0.0373429761551157
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","All Periods: RMSE",0.556375911062891
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Treated Periods: E(Bias)",-0.0110427891650251
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Treated Periods: MAD",0.138113646030256
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Treated Periods: Coverage",1
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Untreated Periods: E(Bias)",-0.00599550555662772
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Untreated Periods: MAD",0.0381879036167126
1,"Panel D: Assignment Selection + Timing Selection","Gsynth (PCA)","Untreated Periods: Coverage",0.052
