"method","subsample","event_date","mean_car","boot_se","lo","hi","n"
"APM","Cash merger",77,-0.0328121618629915,0.0225928078859351,-0.0747644903379419,0.0126901932476642,5676
"APM","Cash merger",78,-0.033328028816894,0.0228927181043801,-0.0762449318263511,0.012749703500824,5676
"APM","Cash merger",79,-0.0339061538115566,0.023113668280452,-0.0771693339945742,0.0120801932812238,5676
"APM","Cash merger",80,-0.0340020743996936,0.0233303535485691,-0.0779802250887565,0.0124340896969676,5676
"APM","Cash merger",81,-0.0355878699268569,0.0236847885256025,-0.080489100161419,0.0110385696267407,5676
"APM","Cash merger",82,-0.0355183117180117,0.0238347145427612,-0.0808992827933957,0.0119471996079466,5676
"APM","Cash merger",83,-0.0362781760239155,0.0241939700419166,-0.0821185242850431,0.0115933738638972,5676
"APM","Cash merger",84,-0.0380518531351476,0.0249142256973071,-0.0847391192066254,0.00973133181287406,5676
"APM","Cash merger",85,-0.037757565558023,0.0254773372759203,-0.0856202942243205,0.0118023597232947,5676
"APM","Cash merger",86,-0.0382514934045672,0.025760821369868,-0.0867451909114091,0.0116273603190231,5676
"APM","Cash merger",87,-0.0390584134111197,0.0260296042443974,-0.0879300028489762,0.0113497650358645,5676
"APM","Cash merger",88,-0.0398024142334311,0.0261050632805526,-0.0884268577264375,0.0111055083814568,5676
"APM","Cash merger",89,-0.0403970968305298,0.0261467560780006,-0.0893853039239771,0.0106507731886071,5676
"APM","Cash merger",90,-0.0400895850980492,0.0263657770996617,-0.0895911844184768,0.0109603473692986,5676
"APM","Cash merger",91,-0.0407938979540691,0.026692082707906,-0.0916776213247605,0.0107717580848176,5676
"APM","Cash merger",92,-0.0409094906866132,0.0268946179985055,-0.0915670461839863,0.0114093058070471,5676
"APM","Cash merger",93,-0.0414768343433088,0.027238511538768,-0.0930313005174239,0.0114779932757833,5676
"APM","Cash merger",94,-0.0418849435786183,0.0276217532302151,-0.0940807141378216,0.0118272825450815,5676
"APM","Cash merger",95,-0.0425601072897991,0.027828905101894,-0.0953137205467712,0.0113137291857086,5676
"APM","Cash merger",96,-0.0432764088108891,0.0281104006116503,-0.0959017958963296,0.011619306393901,5676
"APM","Cash merger",97,-0.0433010407074751,0.0285016903825623,-0.0960709695053562,0.0120423697471609,5676
"APM","Cash merger",98,-0.0444867994816006,0.0286310220104078,-0.0977882446890837,0.0109201682363579,5676
"APM","Cash merger",99,-0.0450901178333356,0.0287718273092984,-0.0984625953858898,0.0109854858049502,5676
"APM","Cash merger",100,-0.0454973498779762,0.0289937405417836,-0.099812361638394,0.0108106724387018,5676
"APM","Cash merger",101,-0.0466334150814315,0.0291020342792691,-0.101673601954499,0.0101936885913662,5676
"APM","Cash merger",102,-0.0478480678572687,0.0293968032915368,-0.103081789656611,0.00977231413608922,5676
"APM","Cash merger",103,-0.0478459868794012,0.0295922033219753,-0.10378362277716,0.0104606068971992,5676
"APM","Cash merger",104,-0.049006103834004,0.0298721611744774,-0.105359128929721,0.0103607949486464,5676
"APM","Cash merger",105,-0.0500070085294206,0.0301637344390472,-0.108118461874289,0.00976498637005799,5676
"APM","Cash merger",106,-0.0512114327998659,0.0304935610485579,-0.109933720721917,0.00889113349097305,5676
"APM","Cash merger",107,-0.0518068366579373,0.0307832026953144,-0.111041182291417,0.00915632006603508,5676
"APM","Cash merger",108,-0.0520111411277011,0.0310442041486982,-0.112095968595345,0.00945719649637772,5676
"APM","Cash merger",109,-0.0524163203654251,0.0312375066777392,-0.112959834282195,0.00971572508449386,5676
"APM","Cash merger",110,-0.0532065251114429,0.0313834152427791,-0.113770508715979,0.00937256750450519,5676
"APM","Cash merger",111,-0.0542387948087871,0.0314666728319515,-0.115363255630276,0.00878691550121348,5676
"APM","Cash merger",112,-0.054913108335217,0.0316519079901492,-0.116621672462966,0.00862246170410787,5676
"APM","Cash merger",113,-0.0555304828835168,0.0317499211693307,-0.117766468673713,0.00839930598769696,5676
"APM","Cash merger",114,-0.0566465133964017,0.0319929223047004,-0.119797590428501,0.00729328394739517,5676
"APM","Cash merger",115,-0.0576262673595765,0.0321903145214899,-0.121157885343095,0.00626020617057069,5676
"APM","Cash merger",116,-0.0587297846954017,0.0324253396430088,-0.123791580072883,0.0054685252876433,5676
"APM","Cash merger",117,-0.0590934346115982,0.0324656996025824,-0.123813416261835,0.00544689449218105,5676
"APM","Cash merger",118,-0.0592401152341254,0.0328065046735972,-0.124810761261196,0.00625474426951604,5676
"APM","Cash merger",119,-0.0595592699352,0.0330425248444319,-0.125529021443362,0.00627653744106737,5676
"APM","Cash merger",120,-0.060648695256276,0.0331734727368525,-0.127229384863535,0.005531206462996,5676
"APM","Cash merger",121,-0.0621018237643582,0.0334238600617653,-0.129633532341037,0.00444744862756621,5676
"APM","Cash merger",122,-0.062308418146547,0.033597176794705,-0.130037678697122,0.00495304421220208,5676
"APM","Cash merger",123,-0.062616043262319,0.0337069720308839,-0.130750353827325,0.00492559833320551,5676
"APM","Cash merger",124,-0.0632687526995647,0.0341928522804123,-0.132407902263858,0.0047736889843112,5676
"APM","Cash merger",125,-0.0627238279370699,0.0343638852706458,-0.130908016137178,0.00595651736032245,5676
"APM","Cash merger",126,-0.0637939491163916,0.0345721021186354,-0.133288982488616,0.00495471249333006,5676
"APM","Cash merger",127,-0.0626724345771002,0.0348464865557818,-0.131469113575827,0.006504842885246,5676
"APM","Cash merger",128,-0.0638209078527145,0.0351572617029524,-0.133641556537599,0.00581967342542035,5676
"APM","Cash merger",129,-0.0639273279976995,0.0354011229755184,-0.134200174123053,0.00568151507545953,5676
"APM","Cash merger",130,-0.0638535996269817,0.0353010864605564,-0.132580131160983,0.00590470063465839,5676
"APM","Cash merger",131,-0.0647750653468617,0.0356117354932795,-0.13408308063556,0.00546279906055511,5676
"APM","Cash merger",132,-0.0649613948290904,0.0357437932136373,-0.134407124694451,0.00633483959122998,5676
"APM","Cash merger",133,-0.0649862097409146,0.0359554630241306,-0.135087309124112,0.00638997106274913,5676
"APM","Cash merger",134,-0.0651146191830844,0.0364176515829303,-0.135765557633423,0.00678127658971507,5676
