"method","subsample","event_date","calibrated","boot_se","lo","hi","n"
"SC","Full sample",51,0.0173893156524565,0.00318155401212813,0.0110841737530579,0.0234417671180039,14847
"SC","Full sample",52,0.0173593731106096,0.00326022631956729,0.010923121910869,0.023727311562515,14847
"SC","Full sample",53,0.0169164586381103,0.00336179614139254,0.010249318593147,0.0234788304296828,14847
"SC","Full sample",54,0.0170459685537191,0.00333473676636528,0.0104899555934109,0.023529407245513,14847
"SC","Full sample",55,0.0172562035206391,0.00327602949080834,0.0106818500744786,0.0235611944979055,14847
"SC","Full sample",56,0.0170351640117322,0.00344920011909315,0.0104032863767238,0.023693520939652,14847
"SC","Full sample",57,0.0170639646663504,0.00347425808876361,0.0101345517338909,0.0236219987811811,14847
"SC","Full sample",58,0.0163301969096378,0.00357972950826965,0.00918115248126366,0.0231649035148646,14847
"SC","Full sample",59,0.015999543797229,0.00341855643599782,0.00922612537107623,0.0224430650662219,14847
"SC","Full sample",60,0.0156754091306402,0.0035185758393688,0.00864520735689491,0.0221318853359812,14847
"SC","Full sample",61,0.015839715178114,0.00362316423358174,0.00861399330171056,0.0225617196876304,14847
"SC","Full sample",62,0.0165952947603036,0.00343365536866943,0.00973757799454722,0.0230063337184866,14847
"SC","Full sample",63,0.0161204210925135,0.00355168304268091,0.00918225636988085,0.0228721429647765,14847
"SC","Full sample",64,0.0164978688410705,0.00366023417299214,0.0093953891148845,0.0235104061358187,14847
"SC","Full sample",65,0.0163931836226935,0.00357277533999019,0.00947541024371061,0.0233006560883412,14847
"SC","Full sample",66,0.0155481166751455,0.00361235042708839,0.00833070779121097,0.022518897470529,14847
"SC","Full sample",67,0.0154698738990303,0.00362578729292353,0.00827601879208109,0.0225668270330869,14847
"SC","Full sample",68,0.0155038939571537,0.00366196746651771,0.00797339600518746,0.022492934469466,14847
"SC","Full sample",69,0.0155761761986293,0.00371298520574992,0.00811527414609559,0.0225387352247419,14847
"SC","Full sample",70,0.0147241811457559,0.00371564566509916,0.00724731189552288,0.0218394446459006,14847
"SC","Full sample",71,0.0143256655396742,0.00372199428061529,0.0068089873648225,0.021255525958132,14847
"SC","Full sample",72,0.0132244691678863,0.00373403205982323,0.0056310511353518,0.0202680283396272,14847
"SC","Full sample",73,0.0119298610431653,0.0037968972753326,0.0040223179262968,0.0192032319109729,14847
"SC","Full sample",74,0.0115922941999869,0.00378056489397679,0.00372848804888687,0.0187884880767925,14847
"SC","Full sample",75,0.0125736926764622,0.00377030398845101,0.00469177204680585,0.0198283597077454,14847
"SC","Full sample",76,0.0125703250078367,0.003766301770469,0.0049023408860267,0.019900676455099,14847
"SC","Full sample",77,0.0126106720658528,0.00382887224101916,0.00469168359090114,0.0199387360116272,14847
"SC","Full sample",78,0.0127930553695361,0.00387434443829018,0.00503526998246938,0.020295024869349,14847
"SC","Full sample",79,0.0130040490667505,0.00390019972557732,0.00518196026259169,0.0206459663545553,14847
"SC","Full sample",80,0.0131697571154994,0.00378924193309127,0.00542793128132823,0.0205768266101612,14847
"SC","Full sample",81,0.0127123148207095,0.00385751550939564,0.00474033603617136,0.0200500370125106,14847
"SC","Full sample",82,0.0140560774696945,0.00381429406785686,0.00623056083441829,0.0214413555848258,14847
"SC","Full sample",83,0.0133949274107331,0.00385844061884681,0.00524407820129035,0.0208519709992236,14847
"SC","Full sample",84,0.0130803362866842,0.00395795862644826,0.00483580946648101,0.0204218999388636,14847
"SC","Full sample",85,0.0127408282474375,0.00394210619725437,0.00451006286100836,0.0202054768318011,14847
"SC","Full sample",86,0.0131110887007643,0.00393928920798062,0.00499892062631686,0.020734111904801,14847
"SC","Full sample",87,0.012620859149163,0.00405528539490098,0.00445609803134115,0.0202742267802696,14847
"SC","Full sample",88,0.0123157879959803,0.00393595691510449,0.00418363477643511,0.0198954816844809,14847
"SC","Full sample",89,0.012642011157118,0.00397945656943815,0.00442831222929308,0.0201993690022447,14847
"SC","Full sample",90,0.0126835564440829,0.00397232893570567,0.00470420704265171,0.020444087897608,14847
"SC","Full sample",91,0.0125069729254723,0.00396146743962411,0.00459672753801232,0.0203526318807196,14847
"SC","Full sample",92,0.0126915091300048,0.00410496910347003,0.00457999522491132,0.0208063198174609,14847
