"method","event_date","catt","se"
"Gsynth",-58,0.00977085872428898,0.00676372075828801
"Gsynth",-57,0.0101452006362608,0.00674023889291108
"Gsynth",-56,0.0109582888155192,0.00683465341637724
"Gsynth",-55,0.011086087053447,0.00693152695212692
"Gsynth",-54,0.0120890776713309,0.00710106391018175
"Gsynth",-53,0.0125712536861844,0.00725123689886552
"Gsynth",-52,0.0121124284705912,0.00733021785280274
"Gsynth",-51,0.0135265386856015,0.00738847721974767
"Gsynth",-50,0.0138743391202455,0.00745234873031926
"Gsynth",-49,0.0135188749359277,0.00750197984920046
"Gsynth",-48,0.0144051317920961,0.00806224898327094
"Gsynth",-47,0.0149853588007732,0.00833230329846616
"Gsynth",-46,0.0136286672832068,0.00822594366357224
"Gsynth",-45,0.0147676809202649,0.00851766379706767
"Gsynth",-44,0.0162841616134288,0.00861439630516282
"Gsynth",-43,0.0159279938106369,0.00875408183963961
"Gsynth",-42,0.0168166486974275,0.00891561391640638
"Gsynth",-41,0.0169839950067059,0.00902675770646527
"Gsynth",-40,0.0180376900805248,0.0089851892823609
"Gsynth",-39,0.0186355285013777,0.0089548045888786
"Gsynth",-38,0.0182635076427644,0.00904303898022608
"Gsynth",-37,0.0172341808876936,0.00913472707006706
"Gsynth",-36,0.017080865212434,0.00922206184573093
"Gsynth",-35,0.016297408761668,0.0091994744434116
"Gsynth",-34,0.0151532631047155,0.00945890139943481
"Gsynth",-33,0.015419822683172,0.0096760128692242
"Gsynth",-32,0.0165288062245945,0.00973234229214313
"Gsynth",-31,0.0149825106907217,0.00986500196783214
"Gsynth",-30,0.0153450428720468,0.0098891290266374
"Gsynth",-29,0.0154000482402618,0.00998581479644259
"Gsynth",-28,0.0166382530431817,0.0100262973370439
"Gsynth",-27,0.016121108705488,0.0101048920691369
"Gsynth",-26,0.01681732519705,0.0103145844666856
"Gsynth",-25,0.0174852469022005,0.0103418959013158
"Gsynth",-24,0.0174220440588009,0.0103570413852567
"Gsynth",-23,0.0175600410245312,0.0105456456401722
"Gsynth",-22,0.0170898485813,0.0106135381636558
